Star_Name	Colon_Name
KIR2DS2*0010111	KIR:KIR00623
KIR2DS2*0010112	KIR:KIR00635
KIR2DS3*0010301	KIR:KIR00044
KIR2DS3*0010302	KIR:KIR00636
KIR2DS3*0020101	KIR:KIR00131
KIR2DS3*0020102	KIR:KIR00429
KIR2DS3*0020103	KIR:KIR00652
KIR2DS4*0010101	KIR:KIR00045
KIR2DS4*0010102	KIR:KIR00092
KIR2DS4*0010103	KIR:KIR00099
KIR2DS4*0010104	KIR:KIR00452
KIR2DS4*0010105	KIR:KIR00453
KIR2DS4*0010106	KIR:KIR00496
KIR2DS4*0010107	KIR:KIR00499
KIR2DS4*0010108	KIR:KIR00498
KIR2DS4*0010109	KIR:KIR00497
KIR2DS4*0030101	KIR:KIR00048
KIR2DS4*0030102	KIR:KIR00318
KIR2DS4*0030103	KIR:KIR00430
KIR2DS4*0030104	KIR:KIR00431
KIR2DS4*0040101	KIR:KIR00089
KIR2DS4*0040102	KIR:KIR00637
KIR2DS4*0060101	KIR:KIR00090
KIR2DS4*0060102	KIR:KIR00651
KIR2DS4*010	KIR:KIR00315
KIR2DS5*0020101	KIR:KIR00050
KIR2DS5*0020102	KIR:KIR00299
KIR2DS5*0020103	KIR:KIR00297
KIR2DS5*0020104	KIR:KIR00433
KIR2DS5*006	KIR:KIR00276
KIR2DS5*007	KIR:KIR00277
KIR2DS5*010	KIR:KIR00432
KIR3DL1*0010101	KIR:KIR00054
KIR3DL1*0010102	KIR:KIR00434
KIR3DL1*0010103	KIR:KIR00761
KIR3DL1*002	KIR:KIR00056
KIR3DL1*0040101	KIR:KIR00058
KIR3DL1*0040102	KIR:KIR00758
KIR3DL1*0040103	KIR:KIR00762
KIR3DL1*0050101	KIR:KIR00060
KIR3DL1*0050102	KIR:KIR00456
KIR3DL1*0050103	KIR:KIR00707
KIR3DL1*0050104	KIR:KIR00716
KIR3DL1*0050105	KIR:KIR00718
KIR3DL1*0070101	KIR:KIR00062
KIR3DL1*0070102	KIR:KIR00639
KIR3DL1*0070103	KIR:KIR00712
KIR3DL1*0070104	KIR:KIR00714
KIR3DL1*008	KIR:KIR00063
KIR3DL1*0150101	KIR:KIR00102
KIR3DL1*0150102	KIR:KIR00754
KIR3DL1*0150103	KIR:KIR00755
KIR3DL1*0150201	KIR:KIR00057
KIR3DL1*0150202	KIR:KIR00479
KIR3DL1*0150203	KIR:KIR00480
KIR3DL1*0150204	KIR:KIR00720
KIR3DL1*0150205	KIR:KIR00722
KIR3DL1*0150206	KIR:KIR00724
KIR3DL1*0150207	KIR:KIR00725
