Star_Name	Colon_Name
KIR2DL3*032	IPD:KIR00741
KIR2DL3*033	IPD:KIR00849
KIR2DL3*034	IPD:KIR00879
KIR2DL3*035	IPD:KIR00945
KIR2DL4*00101	IPD:KIR00020
KIR2DL4*0010201	IPD:KIR00021
KIR2DL4*0010202	IPD:KIR00424
KIR2DL4*0010301	IPD:KIR00112
KIR2DL4*0010302	IPD:KIR00115
KIR2DL4*0010303	IPD:KIR00420
KIR2DL4*0010304	IPD:KIR00421
KIR2DL4*0010305	IPD:KIR00422
KIR2DL4*0010306	IPD:KIR00423
KIR2DL4*0010307	IPD:KIR00425
KIR2DL4*0010308	IPD:KIR00620
KIR2DL4*00104	IPD:KIR00119
KIR2DL4*00105	IPD:KIR00129
KIR2DL4*00106	IPD:KIR00969
KIR2DL4*00201	IPD:KIR00022
KIR2DL4*00202	IPD:KIR00023
KIR2DL4*003	IPD:KIR00024
KIR2DL4*004	IPD:KIR00025
KIR2DL4*00501	IPD:KIR00026
KIR2DL4*00503	IPD:KIR00901
KIR2DL4*00504	IPD:KIR00902
KIR2DL4*00601	IPD:KIR00027
KIR2DL4*00602	IPD:KIR00130
KIR2DL4*00603	IPD:KIR00913
KIR2DL4*007	IPD:KIR00028
KIR2DL4*0080101	IPD:KIR00109
KIR2DL4*0080102	IPD:KIR00110
KIR2DL4*0080103	IPD:KIR00117
KIR2DL4*0080104	IPD:KIR00213
KIR2DL4*0080105	IPD:KIR00436
KIR2DL4*0080201	IPD:KIR00111
KIR2DL4*0080202	IPD:KIR00116
KIR2DL4*0080203	IPD:KIR00437
KIR2DL4*0080204	IPD:KIR00647
KIR2DL4*00901	IPD:KIR00118
KIR2DL4*00902	IPD:KIR00520
KIR2DL4*010	IPD:KIR00114
KIR2DL4*01101	IPD:KIR00113
KIR2DL4*01102	IPD:KIR00991
KIR2DL4*01201	IPD:KIR00212
KIR2DL4*01202	IPD:KIR00593
KIR2DL4*013	IPD:KIR00512
KIR2DL4*014	IPD:KIR00521
KIR2DL4*015	IPD:KIR00522
KIR2DL4*016	IPD:KIR00523
KIR2DL4*017	IPD:KIR00591
KIR2DL4*018	IPD:KIR00592
KIR2DL4*019	IPD:KIR00594
KIR2DL4*020	IPD:KIR00595
KIR2DL4*021	IPD:KIR00596
KIR2DL4*022	IPD:KIR00590
KIR2DL4*023	IPD:KIR00668
KIR2DL4*024	IPD:KIR00670
KIR2DL4*025	IPD:KIR00672
KIR2DL4*026	IPD:KIR00674
KIR2DL4*027	IPD:KIR00675
KIR2DL4*028	IPD:KIR00748
KIR2DL4*029	IPD:KIR00826
KIR2DL4*030	IPD:KIR00830
KIR2DL4*031	IPD:KIR00828
KIR2DL4*032	IPD:KIR00904
KIR2DL4*033	IPD:KIR00905
KIR2DL4*034	IPD:KIR00903
KIR2DL4*035	IPD:KIR00909
KIR2DL4*036	IPD:KIR00912
KIR2DL4*037	IPD:KIR00914
KIR2DL4*038	IPD:KIR00928
KIR2DL4*039	IPD:KIR00967
KIR2DL4*040	IPD:KIR00968
KIR2DL4*041	IPD:KIR00990
KIR2DL5A*0010101	IPD:KIR00029
KIR2DL5A*0010102	IPD:KIR00300
KIR2DL5A*0010103	IPD:KIR00439
KIR2DL5A*00102	IPD:KIR00259
KIR2DL5A*00103	IPD:KIR00260
KIR2DL5A*00104	IPD:KIR00262
KIR2DL5A*00105	IPD:KIR00263
KIR2DL5A*0050101	IPD:KIR00095
KIR2DL5A*0050102	IPD:KIR00249
KIR2DL5A*0050103	IPD:KIR00438
KIR2DL5A*0050104	IPD:KIR00440
KIR2DL5A*01201	IPD:KIR00391
KIR2DL5A*01202	IPD:KIR00389
KIR2DL5A*014	IPD:KIR00536
KIR2DL5A*015	IPD:KIR00537
KIR2DL5A*021	IPD:KIR00882
KIR2DL5A*022	IPD:KIR00907
KIR2DL5A*023	IPD:KIR00992
KIR2DL5A*024	IPD:KIR00993
KIR2DL5B*0020101	IPD:KIR00030
KIR2DL5B*0020102	IPD:KIR00248
KIR2DL5B*0020103	IPD:KIR00301
KIR2DL5B*0020104	IPD:KIR00394
KIR2DL5B*0020106	IPD:KIR00524
KIR2DL5B*0020107	IPD:KIR00632
KIR2DL5B*0020201	IPD:KIR00535
KIR2DL5B*0020202	IPD:KIR00972
KIR2DL5B*00203	IPD:KIR00802
KIR2DL5B*00204	IPD:KIR00994
KIR2DL5B*003	IPD:KIR00031
KIR2DL5B*004	IPD:KIR00032
KIR2DL5B*00601	IPD:KIR00125
KIR2DL5B*00602	IPD:KIR00267
KIR2DL5B*00603	IPD:KIR00393
KIR2DL5B*0070101	IPD:KIR00126
KIR2DL5B*0070102	IPD:KIR00525
KIR2DL5B*0080101	IPD:KIR00244
KIR2DL5B*0080102	IPD:KIR00395
KIR2DL5B*00802	IPD:KIR00266
KIR2DL5B*00803	IPD:KIR00682
KIR2DL5B*00804	IPD:KIR00805
KIR2DL5B*00805	IPD:KIR00946
KIR2DL5B*009	IPD:KIR00245
KIR2DL5B*010	IPD:KIR00264
KIR2DL5B*011	IPD:KIR00265
KIR2DL5B*01301	IPD:KIR00390
KIR2DL5B*01302	IPD:KIR00392
KIR2DL5B*01303	IPD:KIR00534
KIR2DL5B*01304	IPD:KIR00801
KIR2DL5B*016	IPD:KIR00538
KIR2DL5B*017	IPD:KIR00664
KIR2DL5B*018	IPD:KIR00684
KIR2DL5B*019	IPD:KIR00803
KIR2DL5B*020	IPD:KIR00804
KIR2DP1*00101	IPD:KIR00052
KIR2DP1*0010201	IPD:KIR00127
KIR2DP1*0010202	IPD:KIR00649
KIR2DP1*0010203	IPD:KIR00634
KIR2DP1*00103	IPD:KIR00694
KIR2DP1*0020101	IPD:KIR00053
KIR2DP1*0020102	IPD:KIR00293
KIR2DP1*0020103	IPD:KIR00442
KIR2DP1*0020104	IPD:KIR00443
KIR2DP1*0020105	IPD:KIR00444
KIR2DP1*0020106	IPD:KIR00445
KIR2DP1*0020107	IPD:KIR00621
KIR2DP1*0020108	IPD:KIR00633
KIR2DP1*0020109	IPD:KIR00625
KIR2DP1*0020110	IPD:KIR00474
KIR2DP1*00202	IPD:KIR00690
KIR2DP1*00203	IPD:KIR00880
KIR2DP1*00204	IPD:KIR00892
KIR2DP1*0030101	IPD:KIR00242
KIR2DP1*0030102	IPD:KIR00648
KIR2DP1*004	IPD:KIR00473
KIR2DP1*006	IPD:KIR00475
KIR2DP1*007	IPD:KIR00476
KIR2DP1*008	IPD:KIR00477
KIR2DP1*009	IPD:KIR00478
KIR2DP1*010	IPD:KIR00622
KIR2DP1*011	IPD:KIR00692
KIR2DP1*012	IPD:KIR00686
KIR2DP1*013	IPD:KIR00688
KIR2DP1*015	IPD:KIR00861
KIR2DP1*016	IPD:KIR00881
KIR2DP1*017	IPD:KIR00884
KIR2DP1*018	IPD:KIR00886
KIR2DP1*019	IPD:KIR00894
KIR2DP1*020	IPD:KIR00949
KIR2DP1*021	IPD:KIR00950
KIR2DP1*022	IPD:KIR00951
KIR2DP1*023	IPD:KIR00952
KIR2DP1*024	IPD:KIR00953
KIR2DS1*001	IPD:KIR00033
KIR2DS1*0020101	IPD:KIR00034
KIR2DS1*0020102	IPD:KIR00298
KIR2DS1*0020103	IPD:KIR00296
KIR2DS1*0020104	IPD:KIR00426
KIR2DS1*0020105	IPD:KIR00427
KIR2DS1*0020106	IPD:KIR00428
KIR2DS1*00202	IPD:KIR00255
